"zybook_id","zybook_code"
173,"CalvinCS108Fall2014"
90,"CHCSCSCI110CppFall14"
47,"CMICHCPS180Fall2014Java"
160,"CSUFresnoCSCI40Fall2014"
150,"CSULB6973Fall2014"
105,"CUNYCSCI120DMFall2014"
191,"FernCreek2014"
76,"FresnoStateCSCI40CppFall2014"
112,"GMUCS112Python3Fall2014"
82,"MacombITCS1140Python3Fall2014"
108,"MiamiDadeCOP1334Fall2014"
45,"MSStateECE3724Fall2014"
110,"MSUCSE1284Python3Fall2014"
70,"MTechCSCI340DiscMathFall14"
145,"NNUENGR4230Fall2014"
218,"NorthwesternEECS212Fall2014"
49,"OUAME2402Fall2014C"
101,"SJSUCS49CHowellFall2014"
100,"SVSUMath300DMFall2014"
151,"TulaneCOSC30006000Fall2014"
237,"UCICS151Fall2014"
225,"UCIICS31Fall2014"
65,"UCIICS6BDiscreteMathematicsSummer2014"
239,"UCRCS10Fall2014"
240,"UCRCS12Fall2014"
72,"ULMCSCI3026DiscMathFall14"
171,"UMichENGR151Fall2014"
19,"UMichFall2014"
71,"UNCPCSC2150DiscMathFall14"
136,"USFENG4453Fall2014"
198,"UtahValleyCS2300Fall2014"
197,"UTPACSCI1370Fall2014"
